"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Eastern Africa","Indian Ocean","Brackishwater","Tilapias and other cichlids","Tilapias and other cichlids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","17","","17","","17","","20","","15","","7","","16","","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eastern Africa","Indian Ocean","Brackishwater","Marine fishes not identified","Marine fishes not identified","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","3","","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Eastern Africa","Indian Ocean","Brackishwater","Turtles","Turtles","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","8","","33","","31","","30","","29","","30","","30","","30","","38","","30","","30","","20","","10","","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eastern Africa","Indian Ocean","Marine","Crabs, sea-spiders","Crabs, sea-spiders","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","1","","1","","1","","1","","1","","2","","2","","3","","3","","5","","5","","4","","2","","4","","3","","1","","2","","1","","2","","2","","2","","2","","1","","1","","1.2","","1","","1.2","","1.2","","1","","1","","1","","1","","1","","1",""
"Eastern Africa","Indian Ocean","Marine","Shrimps, prawns","Shrimps, prawns","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","2","","3","","5","","4","","3","","58","F","253","","222","","201","","997","","671","","1734","","2707","","3064","","3142","","3713","","5225","","5681","","8147","","8423","","7847","","8604","","10162","","9518","","8891","","3634","","4667","F","5911","","4990.5","","5372","","4691","","3447","","4139","","5439","","4947.05",""
"Eastern Africa","Indian Ocean","Marine","Tilapias and other cichlids","Tilapias and other cichlids","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","15","","7","","7","","2","","2","","2","","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","."
"Eastern Africa","Indian Ocean","Marine","Marine fishes not identified","Marine fishes not identified","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","16","","16","","11","","11","","11","","15","","16","","16","","18","","23","","28","","35","","16","","6","","4","","2","","1","","1","","2","","1","","0",".","3","","2","","1","","1","","31","F","16","F","11","F","1","","1","","0","-","0","-","0","-","0",".","0","."
"Eastern Africa","Indian Ocean","Marine","Miscellaneous coastal fishes","Miscellaneous coastal fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","16","","4","","235","","522","","585","","609","","327","","343","","470.1","","609.4","","528","","637","","558.2","","978","","844.6","","1044","","1266.2","","2067.7",""
"Eastern Africa","Indian Ocean","Marine","Miscellaneous pelagic fishes","Miscellaneous pelagic fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","4","","0","0","0","0","6","","6","F","6","F","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Eastern Africa","Indian Ocean","Marine","Pearls, mother-of-pearl, shells","Pearls, mother-of-pearl, shells","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0.1","","0.1","","0",".","0.1","","0","-"
"Eastern Africa","Indian Ocean","Marine","Sea-urchins and other echinoderms","Sea-urchins and other echinoderms","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","F","1","F","1","F","1","F","1","F","1","F","1","F","1","F","1","F","25","","36.75","","100.64","","62.53","F"
"Eastern Africa","Indian Ocean","Marine","Oysters","Oysters","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","8","","8","","8","","8","","10","","9","","8","","10","","8","","12","","18","","10","","3","","4","","4","","2","","3","","4","","3","","2","","4","","3","","1","","2","","2.5","","2","","3","","3","","3","","3","","3","","3","","3","","17.5",""
