"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Africa","Inland waters","Brackishwater","Blackchin tilapia","Sarotherodon melanotheron","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","120","","120","","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","Blue tilapia","Oreochromis aureus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","12","","37","","24","","40","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","255","","255","","255","F","200","F","120","","120","F","120","F","165","F","500","F","500","","500","","500","F","500","F","500","F","500","F","500","F"
"Africa","Inland waters","Brackishwater","Nile tilapia","Oreochromis niloticus","700","F","700","F","1000","F","1200","F","1400","F","1600","F","1600","F","1800","F","2000","F","2050","F","2050","F","2200","F","2200","F","2400","F","2700","F","2400","F","2300","F","2250","F","2250","F","2300","F","2250","F","2700","F","3150","F","3700","F","3700","F","3700","F","4500","F","5400","F","6300","F","7200","F","8100","F","9000","F","9990","F","10500","F","10000","F","20010","F","20025","F","20030","F","20022","F","20005","F","20000","","18000","","18000","","17338","","22535","","20017","","26137","","28518","","49935","","91143","","138433","","129246","","138910","","166370","","176879","","206642","","202617","","233813","","363126","","363041","","527049","F","580717","F","719002","F","601093","","714851","F","800250","F","840250","F","855028","F","930564","F"
"Africa","Inland waters","Brackishwater","Tilapias nei","Oreochromis (=Tilapia) spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","9","F","19","F","26","F","36","F","48","F","65","F","86","F","113","F","148","F","192","F","259","","463","","338","","372","","410","","934","","5","F","5","F","2584","","2502","F","1800","F","1800","F","0","-","0","-","0","-","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","296.792","","266.451","","218.3","","26.366","","14.014","","1.952","","22.655","","38.6","","35","F","35","F","10.36",""
"Africa","Inland waters","Brackishwater","European eel","Anguilla anguilla","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","44","","34","","82","","69","","72","","53","","46","","22","","1","","0","0","22","","20","F","17","F","17","F","22","","15","","23","F","32","F","33","F","16","F","16","F","15","F","7","","15","","11.73","","14.2","","4.219","","0","-","0.412","","0","-","0","-","0","-","0","-","0","-","26.86",""
"Africa","Inland waters","Brackishwater","River eels nei","Anguilla spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","1","","0","0","0","0","0","0","0","0","30","","9","","2","","6","","3","","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","European seabass","Dicentrarchus labrax","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","720","","720","","720","","720","","755","","977","","2238","","3612","","2725","","10031","","841","","1239","","1789","","1812","","4192","","372","","598","","4333","","5331","","16256","","17664","","13748","","12278","","15167","","14343","F","24498","","30720","","24914",""
"Africa","Inland waters","Brackishwater","Groupers nei","Epinephelus spp","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","2","","1","","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Africa","Inland waters","Brackishwater","Mullets nei","Mugilidae","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","22","","25","","30","","36","","32","","20","","19","","18","","8","F","55","F","50","F","30","F","26","F","26","F","12","","18","","25","F","32","F","34","F","1","F","1","F","1","F","9","","6","","51.71","","24.948","","4.391","","5.529","","6.066","","0.35","","1.676","","1.1","","1","F","1","F","10.58",""
"Africa","Inland waters","Brackishwater","White seabream","Diplodus sargus","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","20","","6","","0",".","0",".","0",".","0",".","0",".","0",".","0","."
