"Land Area","Ocean Area","Environment","Species","Scientific name","1950","S_1950","1951","S_1951","1952","S_1952","1953","S_1953","1954","S_1954","1955","S_1955","1956","S_1956","1957","S_1957","1958","S_1958","1959","S_1959","1960","S_1960","1961","S_1961","1962","S_1962","1963","S_1963","1964","S_1964","1965","S_1965","1966","S_1966","1967","S_1967","1968","S_1968","1969","S_1969","1970","S_1970","1971","S_1971","1972","S_1972","1973","S_1973","1974","S_1974","1975","S_1975","1976","S_1976","1977","S_1977","1978","S_1978","1979","S_1979","1980","S_1980","1981","S_1981","1982","S_1982","1983","S_1983","1984","S_1984","1985","S_1985","1986","S_1986","1987","S_1987","1988","S_1988","1989","S_1989","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Eastern Africa","Marine areas","Marine","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","15","","7","","7","","2","","2","","2","","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","."
"Eastern Africa","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","16","","16","","11","","11","","11","","15","","16","","16","","18","","23","","28","","35","","16","","6","","4","","2","","1","","18","","10","","236","","522","","594","","617","","334","","346","","501.1","","625.4","","539","","638","","559.2","","978","","844.6","","1044","","1266.2","","2067.7",""
"Eastern Africa","Marine areas","Marine","Miscellaneous aquatic animal products","Miscellaneous aquatic animal products","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0.1","","0.1","","0",".","0.1","","0","-"
"Eastern Africa","Marine areas","Marine","Miscellaneous aquatic animals","Miscellaneous aquatic animals","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","F","1","F","1","F","1","F","1","F","1","F","1","F","1","F","1","F","25","","36.75","","100.64","","62.53","F"
"Eastern Africa","Marine areas","Marine","Mollusks","Mollusks","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","","8","","8","","8","","8","","10","","9","","8","","10","","8","","12","","18","","10","","3","","4","","4","","2","","3","","4","","3","","2","","4","","3","","1","","2","","2.5","","2","","3","","3","","3","","3","","3","","3","","3","","17.5",""
"Middle Africa","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","5","F","15","F","35","F","58","F","86","F","120","F","151","F","200","F","296","F","721","","661","","1100","","1072","","1184","","1225","F","1153","F","1125","F","1321","F","1293","F","1104","F","1045","F","976","F","1303","F","2278","","2925","","2875","","3196","","3622","","3696","F","3729","F","3776","F","3850","F","3997","F","4067","F","4131","F","4223","F","4236","F","4350","","4501","","5145","","6290.5","","6602","","7691","","8017","F"
"Northern Africa","Inland waters","Brackishwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","44","","34","","82","","69","","72","","53","","46","","22","","1","","0","-","22","","20","F","17","F","17","F","22","","15","","23","F","33","F","34","F","16","F","16","F","15","F","7","","45","","20.73","","16.2","","10.219","","3","","0.412","","0","-","0","-","0","-","0","-","0","-","26.86",""
"Northern Africa","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","700","F","700","F","1000","F","1200","F","1400","F","1650","F","1700","F","2000","F","2300","F","2450","F","2450","F","2800","F","2800","F","3200","F","3700","F","3400","F","3200","F","3050","F","3050","F","3200","F","3150","F","3700","F","4300","F","4900","F","4900","F","4900","F","6000","F","7150","F","8300","F","9450","F","10600","F","11750","F","13440","F","14000","F","13000","F","25000","F","25000","F","25007","F","26000","F","26000","F","26013","","25302","","25300","","20243","","25002","","31663","","43612","","56149","","88220","","142426","","204150","","201949","","214664","","254951","","264922","","331506","","293324","","339244","","434041.982","","434203.796","","612076.408","F","672409.186","F","747450.884","F","731377.562","","770872.735","F","831860.63","F","912334","F","922899","F","999190.36","F"
"Northern Africa","Inland waters","Brackishwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","22","","25","","30","","36","","32","","20","","19","","738","","728","","775","","770","","785","","1003","","2264","","3624","","2743","","10056","","873","","1273","","1790","","1813","","4193","","381","","604","","4384.71","","5357.948","","16282.391","","17676.529","","13754.066","","12278.35","","15168.676","","14344.1","F","24499","","30721","","24924.58",""
"Northern Africa","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","5","","5","","5","","5","","10","","10","","30","","30","","15","","10","","14","","15","","164","","100","","301","","185","","100","","118","","121","","215","","155","","197","","100","","103","","112","","97","","116","","119","","118","","170","","168","","178","","221","","171","","183","","444","","456","","385","","388","","378","","377",""
